Make Code,Model Code,Description
0064,000158,Bajaj
0150,000211,Fork Lift
0164,000288,Chrysler
0188,000319,Daewoo
0336,000594,Hino
0342,000611,Honda
0342,000627,City EX
0353,000659,Hyster
0370,000711,Isuzu
0372,000744,Iveco
0189,000775,Daf
0414,000798,Kobelco
0416,000799,Komatsu
0495,000866,Mazada 6
0365,000995,International
0942,000997,Boggie
0498,001005,350
0506,001215,Canter
0931,001249,Solaris
0630,001517,Renault
0149,001550,Cat
0731,001577,Tadano
0775,001600,Toyota
0930,001607,VDL
0775,001620,CAMRY GL   
0775,001640,Yaris
0812,001765,Volkswagon
0814,001776,Volvo
0930,001810,Citea
0271,027101,Truck
0271,027102,Refrigerator Truck
0854,027103,Vesba 
0271,027112,View Panel
0271,027113,Mini Bus
0271,027114,Pickup
0271,027115,Aumark
0271,027116,Tunland
0443,044301,ES250
0630,063001,Koleos
0900,090001,Forklift
0901,090101,Scissor Lift
0067,090208,35 Forklift
0663,1000000,Rexton1
0718,1000001,R20-16
0718,1000002,ForkLift
0848,100009,Saxon Motor Cycle
0775,100101,Coaster Bus
0775,100102,Dyna 14 Seater Bus
0775,100103,Dyna 15 Seater Bus
0775,100104,Hiace Bus
0775,100105,Hiace Commuter Bus.
0775,100106,Micro Bus.
0775,100107,Mini Bus
0775,100108,Ambulance
0775,100109,Bus
0775,100110,Pick-Up
0775,100111,Bus
0775,100201,Camry
0775,100202,Camry Station.
0775,100203,Camry Grande Saloon
0268,100204,Ford Mobile ATM
0601,100205,CAYENNE
0775,100301,Avalon
0775,100401,4 Runner S/Wagon
0775,100501,Box
0775,100601,Carina Saloon
0775,100602,Carina Station
0775,100701,Celica
0775,100801,Carina Saloon
0775,100901,Corolla Hatcback
0775,100902,Corolla Saloon
0775,100903,Corolla Station
0775,101001,Corona Saloon
0775,101002,Corona Station
0775,101003,Station
0775,101101,Cressida S/Wagon
0775,101102,Cressida Saloon
0775,101103,Cressida Grande Saloon
0019,101104,Ambulance
0775,101201,Crown Saloon
0775,101202,Saloon
0775,101301,D/Cabin Pick Up
0775,101302,Dyna Double Cabin P/Up
0775,101303,Dyna Pick - Up
0775,101304,Hilux D/C P/Up
0775,101305,Hilux
0775,101306,Longbody Pick - Up.
0775,101307,Stout D/Cabin Pick-Up
0775,101308,Stout Pick Up
0775,101309,Dyna Tipper
0775,101310,Hilux D/C 4WD P/UP
0775,101401,L/C G Station
0775,101402,L/C Gx Station
0775,101403,Prado Station
0775,101404,L/C Pick-Up
0775,101405,Gxr Station
0775,101406,L/C Station
0775,101407,Land Cruiser-VXR
0775,101408,VXR Station
0775,101409,Capsula
0775,101410,XA
0764,101411,Tipper Trailer
0775,101501,Chassis
0775,101502,Dyna Lorry Loader
0775,101503,Dyna P.Up+Refrigerator
0775,101504,Dyna Refuse Collector
0775,101505,Fork Lift
0775,101506,Lorry
0775,101507,Lorry With Crane
0775,101508,Refregirator
0775,101509,Refuse Collector
0775,101510,Tanker
0775,101511,Tipper
0775,101512,Truck
0775,101513,Truck Lorry Loader
0775,101601,Starlet H/Back
0775,101701,Tercel Saloon
0775,101801,Echo
0775,101901,Hiace Panel Van.
0775,101902,Postal Van
0775,101903,Previa
0775,101904,Van
0775,101905,Yaris Saloon
0775,101906,Fortuner
0378,101907,JCB Mini Loader
0775,101908,Innova
0775,101999,Luxus 470
0775,102001,Rav 4
0775,102101,Supra
0750,102102,Bus
0775,102202,VAN
0775,102203,Aurion Saloon
0775,102204,FJ Cruiser
0775,102205,Sport
0104,102206,X6
0775,102207,Corolla 1.3
0775,102208,Corolla 1.6
0775,102209,Corolla 1.6 GL
0775,102210,Corolla 1.8
0775,102211,Corolla XL
0775,102212,Cressida XL
0775,102213,Crown Royal
0775,102214,Dumper
0775,102215,Estord
0775,102216,Freezer Van
0775,102217,Lexus
0775,102218,Lexus 40OSL
0775,102219,Lexus 430LS
0775,102220,Lexus ES300
0775,102221,Lexus LS400
0775,102222,MarkII
0775,102223,Royal
0775,102224,Sienna
0775,102225,Supra 3.0GT
0775,102226,Townace
0775,102227,Tundra
0775,102228,GrandLux
0775,102229,Tendri
0849,102230,Barin 60M
0850,102231,Bizzocchi 62M
0104,102232,R1200 RT
0443,102233,Lexus LS 300
0775,102250,Sequoia
0775,102251,86
0775,102252,Land Cruiser
0775,102253,Corolla
0775,102254,Corolla 2.0
0775,102255,Zelas
0775,102256,Avanza
0775,102257,Highlander
0775,102258,Hiace Freezer Van
0775,102259,Avanza
0775,102260,Avensis
0775,102261,Aygo
0775,102262,Land Cruiser 70
0775,102263,Land Cruiser Pick Up
0775,102264,Land Cruiser Prado
0775,102265,Matrix
0775,102266,MR2 Spider
0775,102267,Prado GX
0775,102268,Prado VX
0775,102269,Prius
0775,102270,Hiace Van
0775,102271,Mobile Service Workshop
0775,102272,Pick up with crane
0775,102273,Prado
0775,102274,Prado VXR
0775,102275,Camry Hybrid
0775,102276,Rush
0775,102277,Prius Hybrid
0528,110101,Bus
0528,110102,Civilian Bus
0528,110103,Micro Bus
0528,110104,Mini Bus
0528,110105,Urvan Bus
0528,110106,Hatchback
0528,110107,GT Saloon
0528,110108,Z350
0528,110109,Tiida
0528,110110,370 Z
0528,110201,Patrol Box.
0528,110202,Safari Box
0528,110203,Patrol
0528,110204,Station
0528,110205,Box
0528,110206,Murano
0434,110220,LR 4
0528,110301,Sunny Coupe
0528,110302,Sunny
0528,110303,Sunny Station
0528,110401,Urvan Panel Van
0528,110402,Catering Van
0528,110403,Micro Van
0528,110404,Panel Van
0528,110405,Postal Van
0528,110406,Urvan Van
0528,110407,Van
0528,110501,Altima
0196,110502,Saloon
0196,110503,280C Station Wag
0196,110504,Station
0528,110601,D/C Pick Up.
0528,110602,Long Body Pick Up.
0528,110603,Patrol Pick Up
0528,110604,Pick Up
0528,110605,Patrol S.Safari
0528,110701,Blue Bird Station.
0528,110702,Bluebird Saloon
0528,110801,Cedric Saloon
0528,110802,Cedric Station Sgl
0528,110900,Nissan Coupe
0528,110901,Gloria Saloon
0528,110902,Saloon
0528,110980,Nissan Sport
0359,111001,Saloon
0528,111002,Infiniti Station
0528,111003,Van
0528,111101,Laurel Saloon
0359,111102,FX45
0359,111103,GS35 Coupe
0359,111104,FX35
0359,111105,G350 Saloom
0359,111106,EX350 Saloon
0359,111107,FX350 Station
0359,111108,G37
0359,111109,JX35
0359,111110,G35
0359,111111,M35
0359,111112,QX60
0359,111113,QX70
0359,111114,QX80
0359,111115,QX50
0359,111116,G25
0359,111117,Q50
0359,111118,QX4
0359,111119,I35
0359,111120,Q60
0359,111121,M37
0359,111122,G37S
0359,111123,M45
0359,111124,D-MAX
0359,111125,Q70
0359,111126,I30
0359,111127,FX37
0359,111128,Q30
0359,111129,GX35
0359,111130,M56
0359,111131,QX
0359,111132,QX30
0528,111201,Maxima
0528,111301,Pathfinder
0573,111302,Padmini Premiera
0528,111401,Primera Saloon
0528,111501,Sports Zx Coupe.
0528,111502,Zx Twin Turbo
0528,111601,Stanza Saloon
0528,111701,Terrano Station
0528,111801,XTrail
0528,111802,Armada
0528,111901,Rig
0528,111902,Brake Down
0528,111903,C/Cabin W/Shop Truck
0528,111904,Cabstar Pick - Up
0528,111905,Cabstar Truck
0528,111906,Cargo Truck
0528,111907,Crane
0528,111908,Deisel Water Tanker
0528,111909,Diesel Chassis
0528,111910,Diesel Fuel Tanker
0528,111911,Diesel Head
0528,111912,Diesel Truck
0528,111913,Emptier
0528,111914,Fire Fighting Truck
0528,111915,Flatbed Trailer
0528,111916,Fork Lift
0528,111917,Fuel Bowser
0528,111918,Head Tractor
0528,111919,Head Trailer
0528,111920,Lorry
0528,111921,Lorry + Crane
0528,111922,Mixer
0528,111923,R/C Washing Vehicle.
0528,111924,Refrigerator
0528,111925,Refuse Collector
0528,111926,Six-Wheel
0528,111927,Tanker
0528,111928,Tipper
0528,111929,Tractor
0528,111930,Trailer
0528,111931,Truck
0528,111932,Dump Truck
0528,111933,Diesel Van
0528,111934,Diesel Stake Body
0528,111935,Service Unit
0528,111936,Car Carrier
0528,111937,Street Washer
0528,111938,Crane Truck
0528,111939,Qashqai
0528,111940,Pickup Nivara
0528,111941,Navara Pick Up
0528,111943,skyline coupe
0847,111944,MP4-12 Coupe
0847,111945,650S
0847,111946,P1
0847,111947,720S
0847,111948,540C
0847,111949,570 S
0893,115001,SK200 1OA
0528,119001,300ZX
0528,119002,Container
0528,119003,180B
0528,119004,200
0528,119005,2000
0528,119006,200L
0528,119007,240
0528,119008,2400
0528,119009,240G
0528,119010,280C
0528,119011,300
0528,119012,300ZX
0528,119013,350Z
0528,119014,Civilian
0528,119015,Cable
0528,119016,E24
0528,119017,E24 Bus
0528,119018,E25
0528,119019,Emergency
0528,119020,Fual Tanker
0528,119021,Infinity
0528,119023,Lareul 240
0528,119024,NX
0528,119025,NX Coupe
0528,119026,S200B
0528,119027,S30
0528,119028,Skyline
0528,119029,Sunny LX
0528,119030,ZX 300
0506,120101,Bus
0506,120102,Mini Bus.
0506,120103,Rosa Bus
0506,120201,L300 Van
0506,120202,Refrigerator Van
0506,120203,Van
0506,120204,H/Back
0506,120205,L200 D/c Pickup
0506,120301,3000 Gt
0506,120302,Fuel Tanker
0506,120401,Canter P/Up L/Body.
0506,120402,Canter Pickup
0506,120403,Canter Truck
0506,120404,Canter Van
0506,120405,Grandis
0506,120501,Colt
0506,120502,Colt Saloon
0506,120503,Saloon
0506,120601,D/Cabin P/Up
0506,120602,L/Body Pick-Up
0506,120603,Pickup
0506,120604,Truck
0506,120701,Galant Saloon
0506,120801,Lancer Coupe
0506,120802,Lancer S/Wagon
0506,120803,Lancer Saloon
0506,120804,Coupe
0506,120805,Nativa
0506,120806,Outlander
0506,120807,Lancer
0506,120901,Magna
0506,120902,Station
0506,121001,Pajero Box
0506,121002,Pajero
0506,121003,Pajero Station
0506,121101,Segma Saloon
0506,121201,Space Gear
0506,121301,Cargo Truck
0506,121302,Chassis.
0506,121303,Crane
0506,121304,Dumper Truck
0506,121305,Forklift
0506,121306,Freezer Truck
0506,121307,Fuso Cargo Truck
0506,121308,Head Trailer
0506,121309,Lorry
0506,121310,Lorry With Crane
0506,121311,Rig
0506,121312,Tanker
0506,121313,Tipper
0506,121314,Trailer
0506,121315,Truck W/L.Loader
0506,121316,Uplander
0506,121317,Fuso Cab Back Crain
0506,121318,Pump
0506,121319,Boom Truck
0506,121320,Montero
0506,121321,Carrier
0506,121322,ASX
0506,121323,Mirage
0506,121324,L300
0506,121325,Fuso
0506,121326,Attrage
0506,121327,Pick up + Water tanker
0506,121328,Canter Pick up with Crane
0506,121329,Lancer Evolution
0506,121330,Lancer EX GLS
0506,121331,Lancer EX GT
0506,121332,Pajero Sport
0506,121333,Pick up + Tanker
0128,128001,Panigale
0128,128002,Chiron
0129,129001,Car
0129,129002,2WD
0104,130100,520 Saloon
0104,130101,318 Ia Saloon
0104,130102,323 Ia Saloon
0104,130103,323i Saloon
0104,130104,325 Ia Saloon
0104,130105,316 Compact
0104,130106,316 I Saloon
0104,130107,316 Ia Saloon
0104,130108,318 Ci Cabrio
0104,130109,318i Saloon
0104,130110,320 I
0104,130111,325 I Convertible.
0104,130112,325 Ia Coupe.
0104,130113,328ci  Coupe
0104,130114,328ia Cabrio
0104,130115,328ia Saloon.
0104,130116,330 Ia Saloon
0104,130117,330ci Cabrio
0104,130118,Z3 Coupe
0104,130119,M3 Coupe
0104,130120,Z4 Coupe
0104,130121,760Li
0104,130122,545 IA Saloon
0104,130201,523 Saloon
0104,130202,528i Saloon
0104,130203,540ia
0104,130204,523 Ia Saloon
0104,130205,525 Ia Saloon
0104,130206,528 Ia Saloon
0104,130207,530 Ia Sallon
0104,130208,540i
0104,130209,M5 Saloon
0104,130210,Hatchback
0104,130223,X6 M
0104,130301,730Li
0104,130302,740Li INDV
0104,130303,750Li
0104,130304,728ial Saloon
0104,130305,735 Ial Saloon
0104,130306,735il Saloon
0104,130307,745  Saloon
0104,130308,750i
0104,130309,L7 Saloon
0104,130310,730ial Saloon
0104,130311,735 Ial Saloon
0104,130312,740Li
0104,130313,745ia Saloon
0104,130314,Station
0104,130315,Saloon
0104,130316,Coupe
0104,130317,645 CI Coupe
0104,130318,Alpina B7 Saloon
0104,130319,118
0104,130320,X5 4.4
0104,130321,X5 4.6
0104,130322,X5 4.8 E70 EXE
0104,130323,120
0104,130324,320 Coupe
0104,130325,335 Coupe
0104,130326,350 Coupe
0104,130401,850ci Sport
0104,130402,850ie Coupe
0104,130403,Z8 Coupe
0104,130404,Alpina B5
0104,130415,550 Saloon
0104,130501,Roadstar
0104,130502,635 Coupe
0104,130503,X5
0104,130504,M Roadster
0104,130505,X3 Jeep
0104,130601,Motor Cycle
0104,130602,C-1200r
0104,130603,M2
0104,130614,116
0104,130615,X6
0104,130616,BMW
0104,130618,520I
0104,130619,735
0104,130620,850
0104,130621,316
0104,130622,316E
0104,130623,1200
0104,130624,325
0104,130625,318
0104,130626,328
0104,130627,520IA
0104,130628,523I
0104,130629,36
0104,130630,38
0104,130631,525
0104,130632,525I
0104,130633,529I
0104,130634,530I
0104,130635,530
0104,130636,630iA Coupe
0104,130637,728I
0104,130638,728
0104,130639,535
0104,130640,730i
0104,130641,735I
0104,130642,735
0104,130644,740IA Saloon
0104,130645,740IAL Saloon
0104,130646,750IA
0104,130647,750IL
0104,130648,760IL
0104,130649,745LI
0104,130650,Z3M RoadMaster
0104,130651,320
0104,130652,325
0104,130653,X5 M
0104,130654,I
0104,130655,528
0104,130656,523
0104,130657,X3
0104,130658,740
0104,130659,M3
0104,130660,M6
0104,130661,650iA Coupe
0104,130662,335i
0104,130663,640i
0104,130664,750Li
0104,130665,F32 428I
0104,130666,116i
0104,130667,435i
0104,130668,M 235i
0104,130669,220i
0104,130670,420i
0104,130671,218i
0104,130672,428i
0104,130673,235i
0104,130674,X4 Xdrive 35i
0104,130675,225i
0104,130676,X4
0104,130677,M4
0104,130678,120Ci
0104,130679,318Ci
0104,130680,125i
0104,130681,130i
0104,130682,135Ci
0104,130683,135i
0104,130684,320i Cabrio
0104,130685,325i
0104,130686,330i Coupe
0104,130687,630iA Cabrio
0104,130688,650iA Cabrio
0104,130689,Gran Turismo 335i
0104,130690,Gran Turismo 550i
0104,130691,M3 Cabrio
0104,130692,M6 Cabrio
0104,130693,X3 3.0 Si
0104,130694,X5 4.8 E70 INDV
0104,130695,X5 4.8 E70 SPR
0104,130696,X6 XDRIVE 35i EX
0104,130697,X6 XDRIVE 35i SP
0104,130698,X6 XDRIVE 50i EX
0104,130699,Z4 2.5 Si RDSTR
0104,130700,Z4 3.0 Si RDSTR
0104,130701,Z4 M Coupe
0104,130702,340i
0104,130703,I8
0104,130704,330I
0104,130705,440i
0104,130706,430i
0104,130707,M 240i
0104,130708,230i
0104,130709,650
0104,130710,120i
0104,130711,640i Gran Turismo
0104,130712,Z4 Convertible
0104,130713,X5 35I
0104,130714,228i
0104,130715,X2
0370,140101,Bus
0370,140102,Micro Bus
0370,140103,Mini Bus
0370,140104,Hatchback
0370,140201,Oil Treatment Van
0370,140202,Refrigerated Van.
0370,140203,Van
0370,140301,Aska
0370,140302,Saloon
0370,140303,Station
0370,140401,D/Cabin Pick Up
0370,140402,Long Body Pic/Up
0370,140403,Pickup
0370,140404,Pickup Truck With Crane
0370,140501,Gemini H/Back
0370,140502,Gemini Saloon
0370,140601,Piazza
0370,140701,Trooper Station
0370,140702,Trooper Jeep
0370,140801,Chassis
0370,140802,Diesel
0370,140803,Freezer
0370,140804,Head Trailer
0370,140805,L/D Truck & Roof Top A/C
0370,140806,Light Duty Truck
0370,140807,Lorry
0370,140808,P.Up With Refrigerator
0370,140809,Tanker
0370,140810,Tipper
0370,140811,Trailer
0370,140812,Truck
0370,140813,Truck Lorry Loader
0370,140814,Truck With Crane
0370,140815,Water Tanker
0370,140816,Refuse Collector
0370,140817,Break Down
0370,140818,Recovery Truck
0370,140819,Crewcab
0370,140820,Lift System
0370,140821,7.5 Ton
0370,140822,Diesel 306
0370,140823,Flatdeek
0370,140824,FSR
0370,140825,FVR
0370,140826,Gemini
0370,140827,KB
0370,140828,NPR
0370,140829,Refrigerated
0370,140830,Trooper
0370,140831,WFR
0851,140832,Chief Motorcycle
0370,140833,NMR
0370,140834,FTR
0370,140835,D-MAX
0370,140836,NKR
0370,140837,NQR
0150,150000,Telehandler
0150,150001,Driller
0498,150101,230 Slk
0498,150102,260 Se Saloon
0498,150103,280 S Saloon
0498,150104,280 Sel Saloon
0498,150105,300 Sl 24v Coupe
0498,150106,300se Saloon
0498,150107,300sel Saloon
0498,150108,S 320 Saloon.
0498,150109,350sel Saloon
0498,150110,450 Sel Saloon
0498,150111,CL500  Coupe
0498,150112,500 S Saloon
0498,150113,500sel Saloon
0498,150114,560 Sec Coupe.
0498,150115,560 Sel Saloon
0498,150116,600 Sec Coupe
0498,150117,600 Sel Saloon.
0498,150118,Benz S 320 L
0498,150119,Saloon
0498,150120,200 SLK Coupe
0498,150121,S350 L Saloon
0498,150122,Coupe
0498,150123,200 C Saloon
0498,150124,SL 500
0498,150125,SL 55 Coupe
0498,150126,S 500 Saloon
0498,150127,CL 55 Coupe
0498,150128,CLK 240
0498,150129,S350
0498,150130,280 CLK
0498,150200,E240 Saloon
0498,150201,190 E Saloon
0498,150202,200e Coupe.
0498,150203,200e Saloon
0498,150204,220e Coupe.
0498,150205,220e Saloon
0498,150206,230e Saloon
0498,150207,250 Saloon
0498,150208,260e Long Saloon
0498,150209,260e Saloon
0498,150210,280e Saloon
0498,150211,300e Saloon
0498,150212,320 E Saloon.
0498,150213,350 Ec Coupe.
0498,150214,500 E Saloon
0498,150215,Benz E420
0498,150216,E 50 Saloon
0498,150217,E280 Saloon
0498,150218,E320 Station Wagon
0498,150219,E55 Saloon
0498,150220,Lemousin E280
0498,150221,ML 500
0498,150222,Limousine
0493,150223,W240
0498,150224,ML 350
0493,150226,62
0498,150300,CLS350
0498,150301,A160
0498,150302,A-170
0498,150303,A-190
0498,150304,A-90
0498,150401,320l Saloon.
0498,150501,Jeep .
0498,150601,Broadcasting Van.
0498,150602,Bus
0498,150603,Mini Bus
0498,150604,Van
0498,150606,813
0498,150607,280 TE
0498,150701,Dump Truck
0498,150702,250 L/B 7 Seater
0498,150703,A/C Fueller.
0498,150704,Animal Carrier
0498,150705,Armoured Car.
0498,150706,B.Helicopter Fueller.
0498,150707,Benz A/C Fueller
0498,150708,Benz Ambulance
0498,150709,Benz Drilling Rig
0498,150710,Benz Dump Truck
0498,150711,Benz Fuel Tanker
0498,150712,Benz L.L.Washing Veh:
0498,150713,Benz Refuse Collector
0498,150714,Benz T/V W.Generator
0498,150715,Benz Transit Mixer.
0498,150716,Benz Truck M/D/Rig
0498,150717,Benz Truck W/L/Loader
0498,150718,Benz Wrecker
0498,150719,Break Down
0498,150720,Caravan
0498,150721,Cement Pump
0498,150722,Chassis
0498,150723,Coka Road Sweeper
0498,150724,Concrete Mixer
0498,150725,Crane
0498,150726,Fire Fighter
0498,150727,Flat Bed Trailer
0498,150728,Head Trailer
0498,150729,Hollar Garbage Clr.
0498,150730,L.L.Washing Vehicle
0498,150731,Lorry
0498,150732,Mixer.
0498,150733,Pick-Up
0498,150734,Prime Mover.
0498,150735,Radio O.B Van
0498,150736,Recovery Vehicle
0498,150737,Refrigerator
0498,150738,Refuse Collector
0498,150739,Sixwheel Tipper.
0498,150740,Stick Body
0498,150741,T.V Van/Generator
0498,150742,Tanker
0498,150743,Television Van
0498,150744,Tipper
0498,150745,Tractor
0498,150746,Truck
0498,150747,Benz O 350 Bus
0344,150748,Horse Box
0498,150801,180c Saloon
0498,150802,CLK200 K
0498,150803,220c Saloon
0498,150804,230 Clk
0498,150805,C 180
0498,150806,C 200
0498,150807,C 220 Saloon
0498,150808,C200 Coupe
0498,150809,C240 Saloon
0498,150810,CLK320
0498,150811,E500
0498,150812,E300
0498,150813,G55
0498,150814,S400 Hybrid
0498,150815,S57
0498,150816,SLK200 K
0498,150817,C300
0498,150818,B160
0498,150901,200t Station.
0498,150902,230 Te Station Wagon.
0498,150903,Ml320 Jeep
0498,150904,Ml430 Jeep
0498,150905,Ml430 Station
0498,150906,Ml55 Station (Jeep)
0498,150907,Station
0498,150908,Cesspit Emptier
0498,150909,Head and Trailer
0498,150910,SLR Coupe
0498,150911,Garbage
0498,150912,Lorry+Crane
0498,150913,Tractor Head
0498,150914,Concrete Pump
0498,150915,G ST
0498,150916,B H/B
0498,150917,Benz Workshop
0498,150918,B200 Turbo
0498,150919,B170
0498,150920,B150
0498,150921,C180(1.6)
0498,150922,C230
0498,150923,C280
0498,150924,C350
0498,150925,C63AMG
0498,150926,CLC 180
0498,150927,CLC 230
0498,150928,CLK 200 Coupe
0498,150929,CLK 280
0498,150930,CLK 200 Cabrio
0498,150931,CLK 280 Cabrio
0498,150932,E350 Coupe
0498,150933,E500 Coupe
0498,150934,E200
0498,150935,E250
0498,150936,E350
0498,150937,E63AMG
0498,150938,S280 Short
0498,150940,S350L
0498,150941,S600 L
0498,150942,S63AMG
0498,150943,S65AMG
0498,150944,CLS280
0498,150945,CLS500
0498,150946,CLS 63 AMG
0498,150947,CL500
0498,150948,CL600
0498,150949,CL 63 AMG
0498,150950,CL 65 AMG
0498,150951,SL 280
0498,150952,SL 350
0498,150953,SL 600
0498,150954,SL 55 AMG
0498,150955,SL 63 AMG
0498,150956,SL 65 AMG
0498,150957,SLK280
0498,150958,SLK350
0498,150959,SLK55 AMG
0498,150961,ML 55
0498,150962,ML63 AMG
0498,150963,G 500
0498,150964,G55 AMG
0498,150965,GL 450
0498,150966,GL 500
0498,150967,GLK 280
0498,150968,GLK 350
0498,150969,R280
0498,150970,R350
0498,150971,R500
0498,150972,MAYBACH 57S
0498,150973,MAYBACH 62
0498,150974,SLR MCLAREN
0498,150975,CLK DTM
0498,150976,CLS350
0498,150977,Mercedes
0498,150978,Benz 400S
0498,150979,320S
0498,150980,260
0498,150981,Benz 220
0498,150982,160A
0498,150983,1924
0498,150984,200
0498,150985,200Se
0498,150986,220
0498,150987,230
0498,150988,240
0498,150989,240E
0498,150990,2632 Tipper
0498,150991,300S
0498,150992,308D
0498,150993,320
0498,150994,420SEL
0498,150995,450SLC
0498,150996,500
0498,150997,500L
0498,150998,500 Se
0498,150999,500Sl
0498,151000,569
0498,151001,600
0498,151002,Actros
0498,151003,Benz
0498,151004,180
0498,151005,190
0498,151006,280
0498,151007,200 L
0498,151008,Shovel
0498,151009,600 L
0498,151010,1928
0498,151011,S300
0498,151012,S320 Benz
0498,151013,ML
0498,151014,450
0498,151015,MBS 500L
0498,151016,EBNZ E220
0498,151017,E320 Benz
0498,151018,E320
0498,151019,Diesel
0498,151020,CL500 S
0498,151021,2203
0498,151022,CLK
0498,151023,CE
0498,151024,C280
0498,151025,C200  K
0498,151026,200 Sel
0498,151027,C200 Benz
0498,151028,Benz 500
0498,151029,Benz 300
0498,151030,Benz S550
0498,151031,Benz S500 C
0498,151032,S500 L
0498,151033,S500
0498,151034,Benz S320 L
0498,151035,Benz S280
0498,151036,Benz CLK 320
0498,151037,Benz  320 CE
0498,151038,Benz  280 SE
0498,151039,C63
0498,151040,C250
0498,151041,GLK 300
0852,151042,MP4-12C Coupe
0498,151043,R300
0498,151045,A250
0499,160100,Saloon
0298,160101,Blue Bird Bus
0298,160102,Bus
0499,160103,Sport Van
0499,160104,Marnier
