MAKE_CODE,MAKE_NAME,MODEL_CODE,MODEL_DESC
E1001,ALFA ROMEO,E1001002,156
E1001,ALFA ROMEO,E1001003,166
E1001,ALFA ROMEO,E1001004,GT
E1001,ALFA ROMEO,E1001005,SPIDER
E1001,ALFA ROMEO,E1001006,159
E1001,ALFA ROMEO,E1001007,BRERA
E1001,ALFA ROMEO,E1001008,MITO
E1001,ALFA ROMEO,E1001009,GIULIETTA
E1001,ALFA ROMEO,E1001010,4C
E1001,ALFA ROMEO,E1001010,4C
E1001,ALFA ROMEO,E1001011,GIULIA
E1001,ALFA ROMEO,E1001012,STELVIO
E1002,ASTON MARTIN,E1002001,DB7
E1002,ASTON MARTIN,E1002001,DB7
E1002,ASTON MARTIN,E1002002,VANQUISH
E1002,ASTON MARTIN,E1002002,VANQUISH
E1002,ASTON MARTIN,E1002003,DB9
E1002,ASTON MARTIN,E1002003,DB9
E1002,ASTON MARTIN,E1002004,VANTAGE
E1002,ASTON MARTIN,E1002004,VANTAGE
E1002,ASTON MARTIN,E1002005,DBS
E1002,ASTON MARTIN,E1002005,DBS
E1002,ASTON MARTIN,E1002006,ONE-77
E1002,ASTON MARTIN,E1002007,RAPIDE
E1002,ASTON MARTIN,E1002008,CYGNET
E1002,ASTON MARTIN,E1002009,VIRAGE
E1002,ASTON MARTIN,E1002009,VIRAGE
E1002,ASTON MARTIN,E1002010,ZAGATO
E1002,ASTON MARTIN,E1002011,DB11
E1002,ASTON MARTIN,E1002012,LAGONDA
E1002,ASTON MARTIN,E1002013,VULCAN
E1003,AUDI,E1003001,A3
E1003,AUDI,E1003001,A3
E1003,AUDI,E1003001,A3
E1003,AUDI,E1003002,A4
E1003,AUDI,E1003002,A4
E1003,AUDI,E1003003,A6
E1003,AUDI,E1003004,A8
E1003,AUDI,E1003005,ALLROAD
E1003,AUDI,E1003006,S4
E1003,AUDI,E1003006,S4
E1003,AUDI,E1003007,S6
E1003,AUDI,E1003007,S6
E1003,AUDI,E1003008,S8
E1003,AUDI,E1003009,TT
E1003,AUDI,E1003009,TT
E1003,AUDI,E1003010,RS4
E1003,AUDI,E1003010,RS4
E1003,AUDI,E1003011,S3
E1003,AUDI,E1003011,S3
E1003,AUDI,E1003012,Q7
E1003,AUDI,E1003013,R8
E1003,AUDI,E1003013,R8
E1003,AUDI,E1003014,A5
E1003,AUDI,E1003014,A5
E1003,AUDI,E1003014,A5
E1003,AUDI,E1003015,RS6
E1003,AUDI,E1003015,RS6
E1003,AUDI,E1003015,RS6
E1003,AUDI,E1003016,Q5
E1003,AUDI,E1003017,S5
E1003,AUDI,E1003017,S5
E1003,AUDI,E1003017,S5
E1003,AUDI,E1003018,A1
E1003,AUDI,E1003018,A1
E1003,AUDI,E1003019,RS5
E1003,AUDI,E1003019,RS5
E1003,AUDI,E1003020,A7
E1003,AUDI,E1003021,Q3
E1003,AUDI,E1003022,S7
E1003,AUDI,E1003023,RS7
E1003,AUDI,E1003024,RS3
E1003,AUDI,E1003025,Q2
E1004,BMW,E1004001,3 SERIES
E1004,BMW,E1004001,3 SERIES
E1004,BMW,E1004001,3 SERIES
E1004,BMW,E1004001,3 SERIES
E1004,BMW,E1004001,3 SERIES
E1004,BMW,E1004002,5 SERIES
E1004,BMW,E1004003,6 SERIES
E1004,BMW,E1004003,6 SERIES
E1004,BMW,E1004003,6 SERIES
E1004,BMW,E1004004,7 SERIES
E1004,BMW,E1004005,X5
E1004,BMW,E1004006,Z4
E1004,BMW,E1004006,Z4
E1001,ALFA ROMEO,E1001001,147
E1004,BMW,E1004007,X3
E1004,BMW,E1004008,1 SERIES
E1004,BMW,E1004008,1 SERIES
E1004,BMW,E1004008,1 SERIES
E1004,BMW,E1004009,X6
E1004,BMW,E1004010,X1
E1004,BMW,E1004011,2 SERIES
E1004,BMW,E1004011,2 SERIES
E1004,BMW,E1004011,2 SERIES
E1004,BMW,E1004012,4 SERIES
E1004,BMW,E1004012,4 SERIES
E1004,BMW,E1004012,4 SERIES
E1004,BMW,E1004013,i3
E1004,BMW,E1004014,X4
E1004,BMW,E1004015,i8
E1004,BMW,E1004016,X2
E1005,CADILLAC,E1005001,CTS
E1005,CADILLAC,E1005001,CTS
E1005,CADILLAC,E1005002,DE VILLE
E1005,CADILLAC,E1005003,ESCALADE
E1005,CADILLAC,E1005004,SE VILLE
E1008,CITROEN,E1008010,DS5
E1008,CITROEN,E1008011,C ELYSEE
E1008,CITROEN,E1008012,DS4
E1008,CITROEN,E1008013,DS3
E1009,DAIHATSU,E1009001,SIRION
E1009,DAIHATSU,E1009002,TERIOS
E1009,DAIHATSU,E1009003,YR-V
E1009,DAIHATSU,E1009004,CHARADE
E1009,DAIHATSU,E1009005,MATERIA
E1009,DAIHATSU,E1009006,GRAN MAX
E1009,DAIHATSU,E1009007,GRAN MAX PICKUP
E1009,DAIHATSU,E1009008,GRAN MAX VAN
E1009,DAIHATSU,E1009008,GRAN MAX VAN
E1010,DODGE,E1010001,CARAVAN
E1010,DODGE,E1010001,CARAVAN
E1010,DODGE,E1010002,DAKOTA
E1010,DODGE,E1010002,DAKOTA
E1010,DODGE,E1010003,DURANGO
E1010,DODGE,E1010005,RAM
E1010,DODGE,E1010005,RAM
E1010,DODGE,E1010005,RAM
E1010,DODGE,E1010005,RAM
E1010,DODGE,E1010005,RAM
E1010,DODGE,E1010005,RAM
E1010,DODGE,E1010006,VIPER
E1010,DODGE,E1010006,VIPER
E1010,DODGE,E1010007,CHARGER
E1010,DODGE,E1010008,MAGNUM
E1010,DODGE,E1010009,STRATUS
E1010,DODGE,E1010009,STRATUS
E1010,DODGE,E1010010,GRAND CARAVAN
E1010,DODGE,E1010010,GRAND CARAVAN
E1010,DODGE,E1010011,CALIBER
E1010,DODGE,E1010012,NITRO
E1010,DODGE,E1010013,AVENGER
E1010,DODGE,E1010014,CHALLENGER
E1010,DODGE,E1010015,JOURNEY
E1010,DODGE,E1010016,DART
E1011,FERRARI,E1011001,360
E1011,FERRARI,E1011001,360
E1011,FERRARI,E1011002,F575
E1011,FERRARI,E1011003,612
E1011,FERRARI,E1011004,F430
E1011,FERRARI,E1011004,F430
E1011,FERRARI,E1011005,599
E1011,FERRARI,E1011006,CALIFORNIA
E1011,FERRARI,E1011007,458
E1011,FERRARI,E1011007,458
E1011,FERRARI,E1011008,F12
E1011,FERRARI,E1011009,FF
E1011,FERRARI,E1011010,LAFERRARI
E1011,FERRARI,E1011010,LAFERRARI
E1011,FERRARI,E1011011,488
E1011,FERRARI,E1011011,488
E1011,FERRARI,E1011012,GTC4
E1011,FERRARI,E1011013,812
E1011,FERRARI,E1011014,PORTOFINO
E1012,FIAT,E1012001,BARCHETTA
E1012,FIAT,E1012002,PUNTO
E1012,FIAT,E1012003,500
E1012,FIAT,E1012003,500
E1012,FIAT,E1012003,500
E1012,FIAT,E1012004,BRAVO
E1012,FIAT,E1012005,DUCATO
E1012,FIAT,E1012006,LINEA
E1012,FIAT,E1012007,FIORINO
E1013,FORD,E1013001,C-MAX
E1013,FORD,E1013002,CROWN VICTORIA
E1013,FORD,E1013003,ESCAPE
E1013,FORD,E1013004,EXCURSION
E1013,FORD,E1013005,EXPEDITION
E1013,FORD,E1013006,EXPLORER
E1013,FORD,E1013007,EXPLORER SPORT TRAC
E1013,FORD,E1013008,F-150
E1013,FORD,E1013008,F-150
E1013,FORD,E1013008,F-150
E1013,FORD,E1013008,F-150
E1013,FORD,E1013008,F-150
E1013,FORD,E1013008,F-150
E1013,FORD,E1013008,F-150
E1013,FORD,E1013008,F-150
E1013,FORD,E1013009,FIESTA
E1013,FORD,E1013010,FOCUS
E1013,FORD,E1013010,FOCUS
E1013,FORD,E1013010,FOCUS
E1013,FORD,E1013011,MONDEO
E1013,FORD,E1013011,MONDEO
E1013,FORD,E1013012,MUSTANG
E1013,FORD,E1013012,MUSTANG
E1013,FORD,E1013013,TAURUS
