Year,Make,Model,Type,Seats,Doors
2017,Audi,A3,1.4 L S-TRONIC 35 TFSI Sedan,5,4
2017,Audi,A3,1.8 L S-TRONIC 40 TFSI Sedan,5,4
2017,Audi,A4,1.4 L S-TRONIC 30 TFSI Sedan,5,4
2017,Audi,A4,1.4 L TIPTRONIC 30 TFSI Sedan,5,4
2017,Audi,A5,2.0 L S-TRONIC 45 TFSI S-LINE Coupe,4,2
2017,Audi,A6,1.8 L S-TRONIC 35 TFSI Sedan,5,4
2017,Audi,A6,2.8 L S-TRONIC 35 FSI Sedan,5,4
2017,Audi,A7,2.8 L S-TRONIC 35 FSI Hatchback,5,5
2017,Audi,A7,3.0 L S-TRONIC 50 TFSI Hatchback,5,5
2017,Audi,A8,4.0 L TIPTRONIC L 60 TFSI Sedan,5,4
2017,Audi,Q3,2.0 L S-TRONIC 35 TFSI S-LINE SUV,5,5
2017,Audi,Q3,2.0 L S-TRONIC 35 TFSI SUV,5,5
2017,Audi,Q3,2.0 L S-TRONIC 40 TFSI S-LINE SUV,5,5
2017,Audi,Q5,2.0 L TIPTRONIC 40 TFSI S-LINE SUV,5,5
2017,Audi,Q5,2.0 L TIPTRONIC 40 TFSI SUV,5,5
2017,Audi,Q7,3.0 L TIPTRONIC 45 TFSI S-LINE SUV,5,5
2017,Audi,Q7,3.0 L TIPTRONIC 45 TFSI S-LINE SUV,7,5
2017,Audi,Q7,3.0 L TIPTRONIC 45 TFSI SUV,5,5
2017,Audi,Q7,3.0 L TIPTRONIC 45 TFSI SUV,7,5
2017,Audi,R8,5.2 L S-TRONIC LOW SPEC Coupe,2,2
2017,Audi,R8,5.2 L S-TRONIC V10 PLUS Coupe,2,2
2017,Audi,RS6,4.0 L TIPTRONIC STD Estate,5,5
2017,Audi,RSQ3,2.5 L S-TRONIC STD SUV,5,5
2017,Audi,S3,2.0 L S-TRONIC STD Sedan,5,4
2017,Audi,S7,4.0 L S-TRONIC TOP Sedan,5,4
2017,Audi,S8,4.0 L TIPTRONIC PLUS Sedan,5,4
2017,Audi,S8,4.0 L TIPTRONIC STD Sedan,5,4
2017,Audi,SQ5,3.0 L TIPTRONIC STD SUV,5,5
2017,Audi,TT,2.0 L S-TRONIC 45 TFSI S-LINE Coupe,4,2
2017,Audi,TTS,2.0 L S-TRONIC STD Coupe,4,2
2017,Bentley,BENTAYGA,6.0 L  FIRST EDITION SUV,4,5
2017,Bentley,BENTAYGA,6.0 L  FIRST EDITION SUV,5,5
2017,Bentley,BENTAYGA,6.0 L  SIGNATURE SUV,5,5
2017,Bentley,MULSANNE,6.7 L TIPTRONIC SPEED Sedan,5,4
2017,Bentley,MULSANNE,6.7 L TIPTRONIC STD Sedan,5,4
2017,BMW,230i,2.0 L  M SPORT Convertible,4,2
2017,BMW,318i,1.5 L  HIGH SPEC Sedan,5,4
2017,BMW,318i,1.5 L  STD Sedan,5,4
2017,BMW,320i,2.0 L STEPTRONIC SPECIAL EDITION Sedan,5,4
2017,BMW,330i,2.0 L  M SPORT EXCLUSIVE Sedan,5,4
2017,BMW,340i,3.0 L  M SPORT Sedan,5,4
2017,BMW,420i,2.0 L  SPORTS LINE Coupe/Cabriolet,4,2
2017,BMW,420I GRAN COUPE,2.0 L  SPORTLINE Hatchback,5,5
2017,BMW,430I,2.0 L  M SPORT Coupe/Cabriolet,4,2
2017,BMW,430I GRAN COUPE,2.0 L  M SPORT Hatchback,5,5
2017,BMW,440i,3.0 L  M SPORT Convertible,4,2
2017,BMW,440I GRAN COUPE,3.2 L  M SPORTS Hatchback,5,5
2017,BMW,530i,2.0 L STEPTRONIC LUXURY Sedan,5,4
2017,BMW,530i,2.0 L STEPTRONIC M SPORT Sedan,5,4
2017,BMW,540i,3.0 L STEPTRONIC LUXURY Sedan,5,4
2017,BMW,540i,3.0 L STEPTRONIC M SPORT Sedan,5,4
2017,BMW,730Li,2.0 L STEPTRONIC EXCLUSIVE Sedan,5,4
2017,BMW,740Li,3.0 L STEPTRONIC CHAIRMAN EDITION Sedan,5,4
2017,BMW,740Li,3.0 L STEPTRONIC LUXURY Sedan,5,4
2017,BMW,750Li,4.4 L STEPTRONIC XDRIVE LUXURY Sedan,5,4
2017,BMW,ALPINA,3.0 L  B4 Coupe,4,2
2017,BMW,ALPINA,4.4 L  B7 Sedan,5,4
2017,BMW,M2,3.0 L DCT STD Coupe,4,2
2017,BMW,M240i,3.0 L  STD Coupe,4,2
2017,BMW,M4,3.0 L DCT STD Coupe,4,2
2017,BMW,X1,2.0 L STEPTRONIC SDRIVE 20i EXCLUSIVE SUV,5,5
